date,obs_fraction
2020-07-13,0.208008
2020-07-14,0.209717
2020-07-15,0.207764
2020-07-16,0.207520
2020-07-17,0.205322
2020-07-20,0.189697
2020-07-21,0.195801
2020-07-22,0.196777
2020-07-23,0.206055
2020-07-24,0.207764
2020-07-27,0.200928
2020-07-28,0.194336
2020-07-29,0.197510
2020-07-30,0.205078
2020-07-31,0.202637
2020-08-03,0.202393
2020-08-04,0.196533
2020-08-05,0.191650
2020-08-06,0.194336
2020-08-07,0.202393
2020-08-10,0.203369
2020-08-11,0.198242
2020-08-12,0.183350
2020-08-13,0.204346
2020-08-14,0.195312
2020-08-17,0.194092
2020-08-18,0.193604
2020-08-19,0.193604
2020-08-20,0.185059
2020-08-21,0.183838
2020-08-24,0.182861
2020-08-25,0.170410
2020-08-26,0.175049
2020-08-27,0.183105
2020-08-28,0.191650
2020-08-31,0.192139
2020-09-01,0.177979
2020-09-02,0.177490
2020-09-03,0.187500
2020-09-04,0.197266
2020-09-08,0.193604
2020-09-09,0.184326
2020-09-10,0.196533
2020-09-11,0.196777
2020-09-14,0.190430
2020-09-15,0.185791
2020-09-16,0.186768
2020-09-17,0.206543
2020-09-18,0.204346
2020-09-21,0.200684
2020-09-22,0.198730
2020-09-23,0.202393
2020-09-24,0.207520
2020-09-25,0.208252
2020-09-28,0.196045
2020-09-29,0.203857
2020-09-30,0.215088
2020-10-01,0.233643
2020-10-02,0.237061
2020-10-05,0.232178
2020-10-06,0.228760
2020-10-07,0.219482
2020-10-08,0.221680
2020-10-09,0.234375
2020-10-12,0.226074
2020-10-13,0.220215
2020-10-14,0.224365
2020-10-15,0.219971
2020-10-16,0.224609
2020-10-19,0.218750
2020-10-20,0.216309
2020-10-21,0.211426
2020-10-22,0.217041
2020-10-23,0.219727
2020-10-26,0.225098
2020-10-27,0.219727
2020-10-28,0.223877
2020-10-29,0.227295
2020-10-30,0.236572
2020-11-02,0.226318
2020-11-03,0.218994
2020-11-04,0.218506
2020-11-05,0.220215
2020-11-06,0.219482
2020-11-09,0.215088
2020-11-10,0.214844
2020-11-11,0.208496
2020-11-12,0.217041
2020-11-13,0.212891
2020-11-16,0.195801
2020-11-17,0.197266
2020-11-18,0.201172
2020-11-19,0.200439
2020-11-20,0.201904
2020-11-23,0.191650
2020-11-24,0.186768
2020-11-25,0.192139
2020-11-27,0.191162
2020-11-30,0.190918
2020-12-01,0.189697
2020-12-02,0.186523
2020-12-03,0.196045
2020-12-04,0.195068
2020-12-07,0.197266
2020-12-08,0.187500
2020-12-09,0.187012
2020-12-10,0.193604
2020-12-11,0.198486
2020-12-14,0.195312
2020-12-15,0.185547
2020-12-16,0.180908
2020-12-17,0.197998
2020-12-18,0.191162
2020-12-21,0.195557
2020-12-22,0.191895
2020-12-23,0.191895
2020-12-24,0.194580
2020-12-28,0.188965
2020-12-29,0.187988
2020-12-30,0.187988
2020-12-31,0.193359
2021-01-04,0.203613
2021-01-05,0.190918
2021-01-06,0.196777
2021-01-07,0.198975
2021-01-08,0.200195
2021-01-11,0.197266
2021-01-12,0.192627
2021-01-13,0.191895
2021-01-14,0.206543
2021-01-15,0.201416
2021-01-19,0.195801
2021-01-20,0.193115
2021-01-21,0.211914
2021-01-22,0.218750
2021-01-25,0.218994
2021-01-26,0.210205
2021-01-27,0.213623
2021-01-28,0.219238
2021-01-29,0.222412
2021-02-01,0.218262
2021-02-02,0.209229
2021-02-03,0.209961
2021-02-04,0.205322
2021-02-05,0.216553
2021-02-08,0.205811
2021-02-09,0.194824
2021-02-10,0.189453
2021-02-11,0.209229
2021-02-12,0.207031
2021-02-16,0.206787
2021-02-17,0.197266
2021-02-18,0.206299
2021-02-19,0.210938
2021-02-22,0.202393
2021-02-23,0.205322
2021-02-24,0.208984
2021-02-25,0.213135
2021-02-26,0.232178
2021-03-01,0.232422
2021-03-02,0.227783
2021-03-03,0.232178
2021-03-04,0.236328
2021-03-05,0.237061
2021-03-08,0.239990
2021-03-09,0.222900
2021-03-10,0.227295
2021-03-11,0.228516
2021-03-12,0.232666
2021-03-15,0.225098
2021-03-16,0.222168
2021-03-17,0.215820
2021-03-18,0.232910
2021-03-19,0.239014
2021-03-22,0.238037
2021-03-23,0.229980
2021-03-24,0.224609
2021-03-25,0.234375
2021-03-26,0.227295
2021-03-29,0.244141
2021-03-30,0.235840
2021-03-31,0.237549
2021-04-01,0.250977
2021-04-05,0.247070
2021-04-06,0.242920
2021-04-07,0.244385
2021-04-08,0.248779
2021-04-09,0.247803
2021-04-12,0.248535
2021-04-13,0.243164
2021-04-14,0.242676
2021-04-15,0.237793
2021-04-16,0.241455
2021-04-19,0.236328
2021-04-20,0.234619
2021-04-21,0.235840
2021-04-22,0.237305
2021-04-23,0.238281
2021-04-26,0.229492
2021-04-27,0.232910
2021-04-28,0.229248
2021-04-29,0.233154
2021-04-30,0.235596
2021-05-03,0.235596
2021-05-04,0.233887
2021-05-05,0.234375
2021-05-06,0.235840
2021-05-07,0.239746
2021-05-10,0.241699
2021-05-11,0.227539
2021-05-12,0.229980
2021-05-13,0.244141
2021-05-14,0.237305
2021-05-17,0.229004
2021-05-18,0.239258
2021-05-19,0.236816
2021-05-20,0.218262
2021-05-21,0.226318
2021-05-24,0.222168
2021-05-25,0.211426
2021-05-26,0.211182
2021-05-27,0.216797
2021-05-28,0.218262
2021-06-01,0.205078
2021-06-02,0.210205
2021-06-03,0.220703
2021-06-04,0.221191
2021-06-07,0.220947
2021-06-08,0.211182
2021-06-09,0.212891
2021-06-10,0.219238
2021-06-11,0.210938
2021-06-14,0.212646
2021-06-15,0.212158
2021-06-16,0.208252
2021-06-17,0.225098
2021-06-18,0.229736
2021-06-21,0.220215
2021-06-22,0.216064
